To Kill a Mockingbird,Harper Lee,Fiction,Available,The story of young girl Scout Finch and her father Atticus Finch who defends a black man accused of raping a white woman in 1930s Alabama.,1960,0061120081,https://example.com/to_kill_a_mockingbird.jpg
1984,George Orwell,Fiction,Available,A dystopian novel set in a totalitarian society where the government uses surveillance and mind control to maintain power.,1949,0451524934,https://example.com/1984.jpg
Pride and Prejudice,Jane Austen,Romance,Available,The classic tale of love manners and marriage revolving around the Bennet family and their five daughters.,1813,0141439513,https://example.com/pride_and_prejudice.jpg
The Great Gatsby,F. Scott Fitzgerald,Fiction,Available,A story of the American Dream love and decadence set in the Roaring Twenties.,1925,0743273567,https://example.com/the_great_gatsby.jpg
The Hobbit,J.R.R. Tolkien,Fantasy,Available,The adventures of Bilbo Baggins a hobbit who embarks on a journey to help a group of dwarves reclaim their homeland.,1937,0618260307,https://example.com/the_hobbit.jpg
To the Lighthouse,Virginia Woolf,Modernist Fiction,Available,The novel explores the lives of the Ramsay family and their guests during visits to the Isle of Skye in Scotland.,1927,0156907399,https://example.com/to_the_lighthouse.jpg
Brave New World,Aldous Huxley,Sci-Fi,Available,A dystopian novel set in a future society where citizens are engineered and conditioned for a predetermined social order.,1932,0060850523,https://example.com/brave_new_world.jpg
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,Available,The first book in the Harry Potter series following young wizard Harry Potter as he discovers his magical heritage.,1997,059035342X,https://example.com/harry_potter_and_the_sorcerers_stone.jpg
Fahrenheit 451,Ray Bradbury,Sci-Fi,Available,Set in a future society where books are banned and 'firemen' burn any that are found.,1953,1451673310,https://example.com/fahrenheit_451.jpg
Jane Eyre,Charlotte Brontë,Classic Fiction,Available,The story of Jane Eyre an orphan who becomes a governess and falls in love with her employer Mr. Rochester.,1847,0141441143,https://example.com/jane_eyre.jpg
The Catcher in the Rye,J.D. Salinger,Fiction,Available,The story of Holden Caulfield a teenager struggling with identity teenage angst and alienation.,1951,0316769177,https://example.com/the_catcher_in_the_rye.jpg
The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,Fantasy,Available,The first book in the Lord of the Rings trilogy following the quest to destroy the One Ring.,1954,0618346252,https://example.com/the_lord_of_the_rings_the_fellowship_of_the_ring.jpg
Moby-Dick,Herman Melville,Adventure,Available,The story of Captain Ahab's obsessive quest to hunt and kill the white whale Moby-Dick.,1851,1503280783,https://example.com/moby_dick.jpg
Little Women,Louisa May Alcott,Classic Fiction,Available,The story of the four March sisters and their journey to adulthood during the Civil War era.,1868,0143106651,https://example.com/little_women.jpg
The Odyssey,Homer,Epic Poetry,Available,An epic poem telling the story of Odysseus' journey home after the fall of Troy.,8th century BCE,0140268863,https://example.com/the_odyssey.jpg
The Picture of Dorian Gray,Oscar Wilde,Classic Fiction,Available,The story of a young man who remains young and beautiful while his portrait ages and bears the scars of his sins.,1890,0486278077,https://example.com/the_picture_of_dorian_gray.jpg
Animal Farm,George Orwell,Fiction,Available,An allegorical novella portraying events leading up to the Russian Revolution and the early years of the Soviet Union.,1945,0451526341,https://example.com/animal_farm.jpg
Alice's Adventures in Wonderland,Lewis Carroll,Fantasy,Available,The tale of a girl named Alice who falls through a rabbit hole into a fantasy world populated by peculiar creatures.,1865,1503219646,https://example.com/alices_adventures_in_wonderland.jpg
The Alchemist,Paulo Coelho,Philosophical Fiction,Available,The story of a shepherd boy named Santiago who sets out on a journey to find a hidden treasure in Egypt.,1988,0061122416,https://example.com/the_alchemist.jpg
The Grapes of Wrath,John Steinbeck,Classic Fiction,Available,A powerful tale of the Joad family's migration from the Oklahoma Dust Bowl to California during the Great Depression.,1939,0143039431,https://example.com/the_grapes_of_wrath.jpg
